,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
dvd player,11.446559706171437,11.6386003646472,5.006569056889865,11.387757336121513,7.763367964601739,3.0760221391959632,3.5662027782255383,8.894684084646332,12.469250042188131,10.664758848204189,0.0,8.373034402988642,5.8695380906181125,10.953223445487762,6.993257161140822,11.092000349075287,5.178658851272684,3.191035898701586,12.154922693501472,10.213998507133171,2.27755421711442,9.131354952991389,5.982244326025116,2.7614260194444786
first shot nerf gun,4.1028468444118715,4.032908036084863,3.957440997253002,3.9150864325380748,2.126496785764499,5.784798671325791,6.949628290222701,1.9366561806120743,20.18637562449361,2.7401046153896473,8.373034402988642,0.0,5.115037548226203,3.6007367051925407,4.610738389006383,3.3549314793420146,3.738185751721363,7.974423749151393,4.5844759089663984,3.240218401787609,7.5673621885107005,3.131434260632332,2.751590759461337,7.479839238639631
game controller,6.925216658529014,7.393167887966525,3.5446203963937206,6.887620578648071,3.8415671591173797,3.7422258858059054,6.7464831016263735,4.786522430788567,17.81598851432645,7.136868195640254,5.8695380906181125,5.115037548226203,0.0,6.566383613821697,2.9635664665127477,6.717121384517164,3.4208723270395174,7.172163739200068,7.786839512923569,5.642973119373053,5.617233239838906,4.908903940549637,3.8775949373791656,5.480266544043217
gillete m3 power nitro,1.2349979837471292,2.9088798603952473,6.500933669863696,2.5856838290364412,3.517370558425181,8.358071312524638,9.90585987202125,3.2725988787739873,22.751734195070473,2.704048546307225,10.953223445487762,3.6007367051925407,6.566383613821697,0.0,5.710292710960609,1.8423487307108053,6.238406571898814,10.84738084489293,2.8017227662075377,2.5819452470692648,10.275791190837856,4.002328119306966,5.5324113307678155,10.129065873132845
stapler,6.068537754749892,6.186484565105367,4.290998487099047,5.806665743082685,3.7550389578935444,4.874236710555883,7.143595293269299,4.03525052696648,18.883102594399553,6.1437568462389445,6.993257161140822,4.610738389006383,2.9635664665127477,5.710292710960609,0.0,5.884618593942001,3.7408488049604762,7.749413477093215,6.847352467167358,4.855872205595896,6.873495827112169,4.180754084961121,3.8873235375427586,6.7033986378005475
hulk hands,2.185373671742761,1.619929651581954,6.422913829916752,1.3579568104798558,3.6236665107462365,8.40033597533877,9.983924759466623,2.626615117003229,23.012311496984506,2.0566338982682213,11.092000349075287,3.3549314793420146,6.717121384517164,1.8423487307108053,5.884618593942001,0.0,6.25566945382683,11.057629153063322,1.5855141631965162,1.8960406799585534,10.389266926942595,3.0973710741604235,5.61080155682813,10.27695686895704
lawn mower,6.65185756050379,6.839852076605371,1.2890287295723737,6.550426286698022,3.300430184358628,2.738816115535365,4.5831522783148815,4.167073582513083,17.28604231983756,5.832843113636005,5.178658851272684,3.738185751721363,3.4208723270395174,6.238406571898814,3.7408488049604762,6.25566945382683,0.0,5.47174591465021,7.2662817719800525,5.405318979425795,4.552177255100062,4.427493500527459,1.8900347049914048,4.62051198206476
oral b toothbrush,11.336470116866089,11.545028679443096,5.3412748545847455,11.52309491046067,7.954838004567009,4.121309897836316,1.663856254799701,8.95322012005344,12.72156409995901,10.20526760746713,3.191035898701586,7.974423749151393,7.172163739200068,10.84738084489293,7.749413477093215,11.057629153063322,5.47174591465021,0.0,12.13576498046033,10.496594361094099,3.4758779711404904,9.523614547911718,5.682798676454408,3.4806248352740137
quickgrip,2.7213970962522542,1.5036150206188392,7.379437998638782,1.943854614388897,4.793636590625154,9.491660909250903,11.023159589874137,3.62638308015559,24.029862730595685,2.655042206068062,12.154922693501472,4.5844759089663984,7.786839512923569,2.8017227662075377,6.847352467167358,1.5855141631965162,7.2662817719800525,12.13576498046033,0.0,2.8984005692582313,11.474475598651386,3.7096802861509883,6.6829781726604,11.37811960732304
scooter,2.775875090480665,2.792946486315838,5.710817001473925,1.6618653232332077,3.1866781150611736,7.5635133507826415,9.457988158360857,2.3777283327629215,22.340233805171042,2.9932282059909854,10.213998507133171,3.240218401787609,5.642973119373053,2.5819452470692648,4.855872205595896,1.8960406799585534,5.405318979425795,10.496594361094099,2.8984005692582313,0.0,9.488028183359466,2.246355581132719,5.128428854059347,9.4281507192768
