,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
gillete m3 power nitro,42.11470982536817,40.280873870071744,61.74033058958023,35.732134502226074,42.450145594851435,62.4624947964187,42.25645599496964,62.20410907889902,36.112161487671536,49.24301773545298,0.0,37.49085983862705,38.96556428537451,54.486658270292835,35.631845177736054,38.392248172037306,68.48990925005788,43.99916030114535,50.59939051113601,65.96086604634986
stapler,38.46791599362153,46.493569119110035,55.66315482513842,40.676886801361825,50.489252050124364,58.802804143021895,49.87516380202995,55.99345405144566,36.256784828426234,48.44595892546998,37.49085983862705,0.0,51.454072585377865,55.459567650206644,36.50214760885936,39.395071594744316,62.985726992097156,38.8881738603861,47.8129267213361,59.2009074837052
hulk hands,50.33280826828728,46.37978669214439,53.74312314065578,47.20756007796294,53.00996735367798,62.710444672024124,49.090711024282,64.21570063328319,55.461064379759435,46.38342830103447,38.96556428537451,51.454072585377865,0.0,59.85813015823396,44.65256345907495,50.61483408361951,73.27548580048234,50.9882410027976,53.56043479088491,66.02226341581463
lawn mower,56.45787436001572,53.683199039474815,69.51598831803074,62.112220475231155,61.49376637707008,78.5801732963992,52.581286137979816,77.09280127518647,63.904419747644056,62.54238244677814,54.486658270292835,55.459567650206644,59.85813015823396,0.0,55.72492323151196,61.94584984289067,81.73582428724123,62.24684991587374,62.35657181129122,77.47744490035393
quickgrip,37.12738087311506,41.0136683983728,58.2964061317676,28.53020547573157,48.48819918900026,55.0185886918153,34.868719073584444,57.93164461157212,36.77004393588514,39.46714515837904,35.631845177736054,36.50214760885936,44.65256345907495,55.72492323151196,0.0,22.070360574803367,62.3527941491402,18.40591946138932,47.45561236875146,61.12956323639558
scooter,42.272679324789955,44.174613574957064,61.80808846720897,26.478355620572156,46.31302744844781,54.10610437798019,42.81126141768425,56.816535537608,41.0786489299741,44.11525537530051,38.392248172037306,39.395071594744316,50.61483408361951,61.94584984289067,22.070360574803367,0.0,59.97552241095963,30.48066493171246,44.81124990162175,59.52314917474623
vhs player,72.93770721747843,81.66540053528871,57.4148009923704,60.97090745840738,69.58320360646691,23.02675142071906,69.02740246554416,29.3656138288206,77.59772596468767,47.28133302003444,68.48990925005788,62.985726992097156,73.27548580048234,81.73582428724123,62.3527941491402,59.97552241095963,0.0,58.58241118667743,52.924509092340216,18.178725392771355
vise grip,44.490256948397544,44.78355356626117,58.532684917872984,33.9125311685342,58.287934276314886,52.038864874608315,42.48301532590836,53.831336803974324,48.356318683543336,44.96131884545747,43.99916030114535,38.8881738603861,50.9882410027976,62.24684991587374,18.40591946138932,30.48066493171246,58.58241118667743,0.0,48.54323679593602,59.27839983747834
water pump,56.06535697162772,60.64510643651731,52.424564579737556,48.24362897067168,54.942264222837444,50.022269502770285,50.73154527131251,53.843118901377665,54.66676540949678,42.742225863057556,50.59939051113601,47.8129267213361,53.56043479088491,62.35657181129122,47.45561236875146,44.81124990162175,52.924509092340216,48.54323679593602,0.0,50.45724872941103
zip disk drive,66.79829832857206,75.22134056256465,54.91729521938241,60.38881286908092,63.03625651767814,26.09984576204536,63.44479320657062,25.45545953185782,74.56067755870822,37.9504122294329,65.96086604634986,59.2009074837052,66.02226341581463,77.47744490035393,61.12956323639558,59.52314917474623,18.178725392771355,59.27839983747834,50.45724872941103,0.0
