,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
gillete m3 power nitro,16.467979257664883,17.27755521610811,19.92519615705992,16.17586918965139,18.11520530326094,20.31551405705621,16.04478728685763,21.0477846906708,18.752157907484243,20.14142327246685,13.0,20.53183032817924,15.6623170603419,19.126870336815177,18.10120843933185,15.54515560873878,22.247726742792047,17.140919861660915,19.186690607094338,21.18371151854666
stapler,17.84833601971011,22.041964323498913,13.061251806136129,20.835042934739157,14.290517393776902,13.34292770639024,19.80184454783005,14.487690948639957,18.56574200264448,12.1804768589837,20.53183032817924,8.0,21.57722706480605,13.68195494953636,22.262374644682076,20.693343534809628,15.254856548779888,18.726849052049353,16.757232770896792,14.54359023107339
hulk hands,17.81807228857233,16.70089847294702,19.530633930903985,16.449850345302696,18.499881339251274,21.00308310343135,16.975678463845533,21.740125172467636,18.95450680416287,21.5730609233765,15.6623170603419,21.57722706480605,13.0,19.489303252648916,16.42811814755372,17.12372801712235,21.780708468318466,17.763812464212002,18.76768036364273,21.524590850062417
lawn mower,18.330708054466427,20.61243632963074,10.874054675503155,20.143091064434334,9.979071853967408,12.26614712006641,17.903043046663026,13.50112265734643,17.70531814021879,13.160166493827488,19.126870336815177,13.68195494953636,19.489303252648916,8.0,21.541228323437785,20.024721409394658,14.616710144895087,17.88876435696573,14.90610547789948,13.415040478866544
quickgrip,19.23893436590546,17.228281659474984,21.151929514825454,17.539549844367503,20.647987124050427,22.921793952183414,18.95263331410334,23.525834008647752,20.15095047942129,23.291599709285084,18.10120843933185,22.262374644682076,16.42811814755372,21.541228323437785,13.0,19.04067355919736,22.99328215501162,19.03483619153737,20.46381791004561,23.33526115363068
scooter,18.3313613164401,17.503503783545668,20.800298728336013,16.488885794005935,18.977894156922723,21.15948538126475,16.72251957929191,21.91929481315286,19.704271133358464,20.934957857422372,15.54515560873878,20.693343534809628,17.12372801712235,20.024721409394658,19.04067355919736,13.0,22.892870986910857,17.078271896084352,19.956336084189463,21.994310519976086
vhs player,20.802520204920594,23.378022473164894,12.570484056478287,22.99805846368388,15.663735595918135,11.198859517068565,21.15616704223933,10.550041746448215,19.929983567207668,12.530279228828883,22.247726742792047,15.254856548779888,21.780708468318466,14.616710144895087,22.99328215501162,22.892870986910857,8.0,20.93777537836359,16.954061142174705,9.727341279142639
vise grip,17.322755165109598,18.027322387704956,18.634759988644,16.609529903940167,17.12834152401752,19.123249324325634,16.172065243586406,19.902577985404353,18.023695156028747,19.39849717676105,17.140919861660915,18.726849052049353,17.763812464212002,17.88876435696573,19.03483619153737,17.078271896084352,20.93777537836359,13.0,17.58616865315278,19.858150496254225
water pump,17.82943966765194,20.518491846464762,14.759437860354309,19.95344256963511,15.050514859277808,16.45219019678429,17.958461831263964,17.405003025792066,16.769713477947057,17.01584854885419,19.186690607094338,16.757232770896792,18.76768036364273,14.90610547789948,20.46381791004561,19.956336084189463,16.954061142174705,17.58616865315278,13.0,16.813988094898708
zip disk drive,19.96424668200487,22.40090302763964,12.634880867559154,21.97849355884501,14.438609978850089,9.917506423254173,20.024609358166387,9.49340550132831,19.754483167668095,11.721079230683465,21.18371151854666,14.54359023107339,21.524590850062417,13.415040478866544,23.33526115363068,21.994310519976086,9.727341279142639,19.858150496254225,16.813988094898708,8.0
