,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
dvd player,67.57095333802557,72.0765890675722,47.55848183630961,55.45394846617145,62.49651427086596,18.138306602388734,76.69416535145297,63.026694734703035,88.89899554376767,67.494397418721,0.0,72.38700988957318,37.142954230970474,62.204109078899016,55.99345405144567,64.21570063328319,77.09280127518647,84.76903434977487,57.93164461157212,56.816535537608,29.365613828820596,53.831336803974324,53.843118901377665,25.455459531857823
first shot nerf gun,41.05406302409317,51.02818297280356,65.7228458132581,42.155219149979466,45.78359755057839,71.40225226236278,61.122958089321514,50.40012224746221,103.19385266241885,48.89436878316075,72.38700988957318,0.0,58.3715001876188,36.11216148767154,36.256784828426234,55.461064379759435,63.904419747644056,59.01349824174301,36.77004393588514,41.0786489299741,77.59772596468767,48.35631868354333,54.66676540949678,74.56067755870822
game controller,53.611427425330774,58.35085537127912,45.19023404537691,48.4762397565609,49.38295910252683,31.932661086460204,66.63974065884548,46.47439968171884,78.22233628905147,53.768334875365596,37.142954230970474,58.3715001876188,0.0,49.24301773545299,48.44595892546998,46.38342830103447,62.54238244677815,74.64270241813185,39.46714515837905,44.1152553753005,47.28133302003444,44.96131884545747,42.742225863057556,37.9504122294329
gillete m3 power nitro,42.11470982536817,40.28087387007175,61.74033058958023,35.732134502226074,42.45014559485143,62.4624947964187,57.7204201864549,42.256455994969635,95.10081327815432,39.46531840190047,62.204109078899016,36.11216148767154,49.24301773545299,0.0,37.49085983862705,38.96556428537452,54.48665827029283,59.93489478885763,35.63184517773605,38.3922481720373,68.48990925005788,43.99916030114536,50.59939051113601,65.96086604634988
stapler,38.46791599362154,46.49356911911005,55.66315482513842,40.676886801361825,50.489252050124364,58.802804143021895,64.4855485831974,49.87516380202995,90.44946980159686,45.34525468302687,55.99345405144567,36.256784828426234,48.44595892546998,37.49085983862705,0.0,51.454072585377865,55.45956765020665,65.49892899409551,36.50214760885936,39.395071594744316,62.985726992097156,38.8881738603861,47.8129267213361,59.2009074837052
hulk hands,50.33280826828728,46.37978669214439,53.74312314065578,47.20756007796294,53.00996735367798,62.71044467202412,73.06835099966082,49.090711024282,104.69901050217877,46.19074798843323,64.21570063328319,55.461064379759435,46.38342830103447,38.96556428537452,51.454072585377865,0.0,59.85813015823396,80.69263765644133,44.65256345907495,50.614834083619506,73.27548580048234,50.9882410027976,53.56043479088492,66.02226341581463
lawn mower,56.45787436001572,53.683199039474815,69.51598831803072,62.11222047523116,61.49376637707008,78.5801732963992,81.91638440672517,52.581286137979816,98.800956229051,58.34294425729628,77.09280127518647,63.904419747644056,62.54238244677815,54.48665827029283,55.45956765020665,59.85813015823396,0.0,84.59351226812068,55.72492323151196,61.94584984289065,81.73582428724121,62.24684991587374,62.35657181129122,77.47744490035394
oral b toothbrush,72.72030371038294,79.78025938020255,84.74406238856979,63.436224662491774,61.958027656261294,83.9774747645729,17.931297845101735,77.27353286568143,83.12273218453024,77.87032766148728,84.76903434977487,59.01349824174301,74.64270241813185,59.93489478885763,65.49892899409551,80.69263765644133,84.59351226812068,0.0,60.04044219673532,61.61933254821507,81.8978274149275,66.39003950886418,72.17458023916568,82.63857342164425
quickgrip,37.12738087311506,41.0136683983728,58.29640613176759,28.53020547573157,48.48819918900026,55.0185886918153,55.919704072244215,34.86871907358445,95.02680797040009,41.619788942768565,57.93164461157212,36.77004393588514,39.46714515837905,35.63184517773605,36.50214760885936,44.65256345907495,55.72492323151196,60.04044219673532,0.0,22.070360574803363,62.3527941491402,18.40591946138932,47.45561236875146,61.12956323639559
scooter,42.27267932478995,44.174613574957064,61.808088467208975,26.478355620572156,46.313027448447805,54.10610437798018,57.53753859553232,42.81126141768424,94.52831908026329,42.9299463592493,56.816535537608,41.0786489299741,44.1152553753005,38.3922481720373,39.395071594744316,50.614834083619506,61.94584984289065,61.61933254821507,22.070360574803363,0.0,59.97552241095962,30.48066493171246,44.81124990162175,59.52314917474622
